id;drop;world;name;shdr;shdg;shdb;shduv;str;dsty;mate;solid;plat;wall;grav;dlfn;fv;fr;lumr;lumg;lumb;lumuv;colour;vscs;refl;tags
0;0;0;BLOCK_AIR;0.0312;0.0312;0.0312;0.0312;1;1;NULL;0;0;1;N/A;0;0;4;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;
16;17;17;BLOCK_STONE;0.1252;0.1252;0.1252;0.1252;48;2400;ROCK;1;0;1;N/A;0;4;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;ROCK,NATURAL
17;17;17;BLOCK_STONE_QUARRIED;0.1252;0.1252;0.1252;0.1252;48;2400;ROCK;1;0;1;N/A;0;4;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;ROCK
18;18;18;BLOCK_STONE_TILE_WHITE;0.1252;0.1252;0.1252;0.1252;48;2400;ROCK;1;0;1;N/A;0;4;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.18;STONE
19;19;19;BLOCK_STONE_BRICKS;0.1252;0.1252;0.1252;0.1252;48;2400;ROCK;1;0;1;N/A;0;4;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;STONE
20;20;20;BLOCK_STONE_DEEP;0.1252;0.1252;0.1252;0.1252;80;24600;ROCK;1;0;1;N/A;0;4;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;ROCK,NATURAL
21;21;21;BLOCK_STONE_MARBLE;0.1252;0.1252;0.1252;0.1252;48;2400;ROCK;1;0;1;N/A;0;4;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.1;ROCK,NATURAL
32;32;32;BLOCK_DIRT;0.1252;0.1252;0.1252;0.1252;24;1400;DIRT;1;0;1;N/A;0;4;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;DIRT,NATURAL
33;32;32;BLOCK_GRASS;0.1252;0.1252;0.1252;0.1252;24;1400;GRSS;1;0;0;N/A;0;0;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;GRASS,NATURAL
34;34;34;BLOCK_GRASSWALL;0.1252;0.1252;0.1252;0.1252;24;1400;GRSS;1;0;1;N/A;0;0;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;GRASS,NATURAL
35;35;35;BLOCK_FOLIAGE_GREEN;0.1252;0.1252;0.1252;0.1252;24;1400;GRSS;1;0;1;N/A;0;0;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;LEAVES,NATURAL
36;36;36;BLOCK_FOLIAGE_LIME;0.1252;0.1252;0.1252;0.1252;24;1400;GRSS;1;0;1;N/A;0;0;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;LEAVES,NATURAL
37;37;37;BLOCK_FOLIAGE_GOLD;0.1252;0.1252;0.1252;0.1252;24;1400;GRSS;1;0;1;N/A;0;0;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;LEAVES,NATURAL
38;38;38;BLOCK_FOLIAGE_RED;0.1252;0.1252;0.1252;0.1252;24;1400;GRSS;1;0;1;N/A;0;0;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;LEAVES,NATURAL
39;39;39;BLOCK_FOLIAGE_ICEBLUE;0.1252;0.1252;0.1252;0.1252;24;1400;GRSS;1;0;1;N/A;0;0;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;LEAVES,NATURAL
40;40;40;BLOCK_FOLIAGE_PURPLE;0.1252;0.1252;0.1252;0.1252;24;1400;GRSS;1;0;1;N/A;0;0;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;LEAVES,NATURAL
48;48;48;BLOCK_PLANK_NORMAL;0.1252;0.1252;0.1252;0.1252;16;740;WOOD;1;0;1;N/A;0;0;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;WOOD
49;49;49;BLOCK_PLANK_EBONY;0.1252;0.1252;0.1252;0.1252;19;1200;WOOD;1;0;1;N/A;0;0;16;0.0000;0.0000;0.0000;0.0000;N/A;N/A;0.0;WOOD
